聲紐,呼,等,韻部,聲調,組,攝,單字,罕
見,合,一,戈,平,,果,堝,2
見,合,二,耕,入,見,梗,蟈,2
見,合,二,耕,入,,梗,幗,2
見,合,二,耕,入,見,梗,膕,2
,,,,,,,氦,2
,,,,,,,晗,2
匣,開,一,覃,上,影,咸,菡,2
,,,,,,,頷,2
匣,開,一,唐,上,,宕,沆,2
匣,開,一,豪,上,影,效,顥,2
疑,開,一,咍,去,見,蟹,閡,2
匣,開,一,歌,平,,果,菏,2
見,開,一,歌,平,,果,菏,2
見,開,一,,入,,咸,頜,2
匣,開,一,,入,,咸,頜,2
匣,開,二,耕,入,影,梗,翮,2
匣,開,二,庚,平,影,梗,珩,2
匣,開,二,庚,平,影,梗,蘅,2
影,合,二,耕,平,影,梗,泓,2
曉,開,一,侯,平,影,流,齁,2
匣,開,一,侯,平,影,流,骺,2
匣,開,一,侯,平,影,流,篌,2
曉,開,一,模,平,影,遇,滹,2
曉,合,二,庚,入,,梗,砉,2
曉,合,四,青,入,,梗,砉,2
匣,合,二,麻,平,影,假,驊,2
曉,合,一,寒,平,影,山,獾,2
云/匣,合/合,三/一,元/桓,平/平,,臻/山,洹,2
曉,合,一,唐,平,影,宕,肓,2
匣,合,一,唐,平,影,宕,隍,2
匣,合,一,唐,平,影,宕,湟,2
匣,合,一,唐,平,影,宕,篁,2
匣,合,一,唐,上,影,宕,幌,1
影,合,一,泰,去,影,蟹,薈,2
,,,,,,,燴,2
影,合,一,唐,入,影,宕,蠖,2
見,開,三,微,平,見,止,璣,2
曉,開,三,真A,入,,臻,咭,2
精/精,開/開,四/四,齊/齊,平/去,,蟹/蟹,躋,2
群,開,三,微,平,見,止,畿,2
羣,開,三,業,入,,咸,笈,2
從,開,三,真A,入,精,臻,蒺,2
精,開,三,鹽A,入,精,咸,楫,2
羣,開,三,支A,平,,止,伎,2
羣,開,三,支B,上,,止,伎,2
羣,開,三,薛B,入,,山,偈,2
精,開,四,青,入,精,梗,勣,3
見,開,四,齊,去,見,蟹,薊,2
精,開,四,齊,去,精,蟹,霽,2
見,開,三,脂B,去,見,止,驥,2
見,開,二,麻,平,見,假,珈,2
見,開,二,麻,平,見,假,袈,2
見,開,二,山,入,見,山,戛,2
見,開,二,狎,入,,咸,岬,2
見/見,開/開,一/二,盍/狎,入/入,,咸/咸,鉀,1
見,開,四,添,平,見,咸,縑,2
,,,,,,,犟,2
見,開,二,肴,平,見,效,茭,2
見,開,二,肴,平,見,效,鮫,2
見,開,二,肴,上,,效,佼,2
見,開,二,山,入,見,山,秸,1
見,開,三,薛B,入,,山,訐,2
精,開,三,鹽A,入,精,咸,婕,2
見,開,三,元,入,見,山,羯,2
見,開,二,皆,去,,蟹,蚧,2
見,開,三,蒸,平,見,曾,矜,2
邪,開,三,真A,去,精,臻,燼,2
見,開,三,欣,去,見,臻,靳,2
精,開,三,真A,去,精,臻,縉,2
羣/羣,開/開,三/三,侵B/侵B,去/上,,深/深,噤,2
見/影,合/開,三/三,庚/庚,上/上,,梗/梗,璟,2
匣,開,四,青,去,,梗,脛,2
群,開,三,清A,上,見,梗,痙,2
見,合,四,青,上,見,梗,熲,2
清,開,三,魚,平,精,遇,狙,2
崇,開,三,魚,上,莊,遇,齟,2
溪/見,合/合,三/三,虞/虞,上/上,,遇/遇,踽,2
見,開,三,魚,去,見,遇,倨,2
見,合,四,先,平,見,山,蠲,2
見,合,三,仙A,去,見,山,鄄,2
見,開,二,江,入,見,江,珏,2
見,開,二,江,入,見,江,桷,2
見,合,三,祭B,去,,蟹,蹶,2
見,合,三,月,入,,臻,蹶,2
見,合,三,陽,入,見,宕,矍,2
見,合,三,陽,入,見,宕,攫,2
云,合,三,真B,平,影,臻,筠,2
精,合,三,真A,去,精,臻,儁,0
溪,開,一,咍,上,,蟹,闓,2
溪/見,開/開,二/二,皆/皆,上/平,,蟹/蟹,鍇,2
溪,開,一,覃,平,,咸,戡,2
溪,開,一,談,去,,咸,闞,2
曉,開,二,咸,上,,咸,闞,2
曉,開,二,銜,去,,咸,闞,2
溪,開,一,唐,去,見,宕,伉,2
,,,,,,,銬,1
溪,開,一,歌,平,見,果,珂,2
匣,開,一,咍,平,,蟹,頦,2
見,開,一,咍,上,,蟹,頦,2
溪,開,一,歌,上,見,果,岢,2
溪,開,一,唐,入,見,宕,恪,2
,,,,,,,氪,2
