id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
8104,泥,開,一,覃,上,端,咸,揇,0,,,3
8105,泥,開,一,覃,上,端,咸,腩,0,牛腩,,2
8106,孃,開,二,刪,上,,山,戁,0,戁懼,,3
8107,,,,,,,,饢,0,饢餅(馕饼),,2
8108,泥,開,一,唐,去,端,宕,儾,0,,,3
8109,,,,,,,,齉,0,齉鼻,,2
8110,娘,開,二,麻,平,知,假,詉,0,,,3
8111,娘,開,二,肴,平,知,效,怓,0,,,3
8112,泥,開,一,豪,平,端,效,峱,0,,,3
8113,孃,開,二,肴,平,,效,硇,0,硇砂,,2
8114,,,,,,,,嫐,0,嫐嬲,,3
8115,,,,,,,,㕶,0,,,3
8116,泥,開,四,齊,上,端,蟹,坭,0,坭土,,2
8117,疑,開,四,齊,平,見,蟹,猊,0,狻猊,,3
8118,疑,開,四,齊,平,見,蟹,輗,0,,,3
8119,孃,開,二,佳,上,,蟹,嬭,0,,,3
8120,孃,開,三,脂B,上,,止,柅,0,柅柅,,3
8121,孃,開,三,脂B,平,,止,柅,0,,,3
8122,疑,開,三,職,入,,曾,薿,0,薿薿,,3
8123,疑,開,三,之,上,,止,薿,0,,,3
8124,泥,開,四,青,入,端,梗,惄,0,惄惄,,3
8125,,,,,,,,𠸺,0,,,3
8126,孃,開,三,職,入,,曾,㥾,0,,,3
8127,孃,開,三,質B,入,,臻,㥾,0,,,3
8128,,,,,,,,䁥,0,,,3
8129,,,,,,,,𪙛,0,,,3
8130,,,,,,,,淰,0,淰淰,,3
8131,泥,開,四,先,上,,山,蹨,0,,,3
8132,日,開,三,仙A,上,,山,蹨,0,,,3
8133,孃,開,三,陽,平,,宕,孃,0,姑孃(姑娘),,0
8134,泥,開,四,蕭,上,,效,裊,0,裊裊(袅袅),,2
8135,泥,開,四,蕭,上,端,效,嬲,0,嬲戲,,3
8136,疑,開,四,先,入,見,山,臬,0,圭臬,,2
8137,疑,開,四,先,入,見,山,臲,0,臲卼,,3
8138,孃,開,三,葉B,入,,咸,籋,0,,,3
8139,泥,開,四,怗,入,,咸,籋,0,,,3
8140,澄,開,三,魚,上,,遇,宁,0,寧靜(宁静),,0
8141,澄,開,三,魚,平,,遇,宁,0,宁可,,0
8142,孃,開,三,尤,上,,流,狃,0,狃習,,3
8143,孃,開,三,尤,去,,流,狃,0,,,3
8144,孃,開,三,尤,上,,流,杻,0,杻械,,2
8145,孃,開,三,鍾,平,,通,燶,0,,,3
8146,孃,開,三,鍾,平,,通,穠,0,穠纖(秾纤),,2
8147,日,開,三,鍾,平,,通,穠,0,穠華(秾华),,2
8148,娘,開,三,鍾,平,知,通,醲,0,醲酒,,3
8149,泥,開,一,模,平,端,遇,孥,0,妻孥,,2
8150,泥,開,一,模,平,端,遇,駑,0,駑馬(驽马),,2
8151,,,,,,,,伮,0,,,3
8152,泥,合,一,寒,上,端,山,餪,0,,,3
8153,疑,合,一,戈,上,,果,㛂,0,,,3
8154,泥,合,一,戈,上,,果,㛂,0,,,3
8155,孃,開,三,屋,入,,通,恧,0,恧然,,3
8156,孃,開,三,職,入,,曾,恧,0,,,3
8157,,,,,,,,𢰡,0,,,3
8158,,,,,,,,𩥋,0,,,3
8159,滂,開,二,麻,平,幫,假,舥,0,,,3
8160,並,開,二,麻,上,,假,跁,0,,,3
8161,,,,,,,,潖,0,,,3
8162,滂,開,二,刪,平,,山,眅,0,,,3
8163,滂,開,二,刪,上,,山,眅,0,,,3
8164,並,合,一,桓,平,,山,搫,0,,,3
8165,並,合,一,戈,平,,果,搫,0,,,3
8166,幫,開,二,刪,平,幫,山,螌,0,螌蝥,,3
8167,並,開,一,寒,平,幫,山,鞶,0,鞶帶,,3
8168,滂,開,一,寒,去,幫,山,頖,0,,,3
8169,,,,,,,,胮,0,,,3
8170,滂,開,一,唐,平,幫,宕,雱,0,雱雱,,2
8171,滂,開,一,唐,平,幫,宕,霶,0,,,3
8172,並,開,二,江,平,幫,江,逄,0,,,2
8173,並,開,一,唐,平,幫,宕,䠙,0,,,3
8174,滂,開,二,肴,平,幫,效,脬,0,尿脬,,2
8175,並,開,二,肴,平,,效,麃,0,麃麃,,3
