id,單字,组词,原註,罕度
1311,誡,告誡(告诫),,1
1315,芥,芥菜,,1
1324,憊,疲憊(疲惫),,1
1325,湃,澎湃,,1
1331,祭,祭祖,,1
1335,贅,累贅(累赘),,1
1345,蛻,蛻變(蜕变),,1
1348,鈉,鈉(钠),,1
1364,綴,點綴(点缀),點綴,1
1365,綴,綴足(缀足),綴足,1
1366,滯,滯留(滞留),,1
1375,啼,啼哭,,1
1376,締,締造(缔造),,1
1387,淒,淒涼(凄凉),,1
1388,悽,悽慘(凄惨),,1
1391,臍,肚臍(肚脐),,1
1392,棲,棲息(栖息),,1
1393,犀,犀牛,,1
1396,嘶,嘶鳴(嘶鸣),,1
1399,閨,閨房(闺房),,1
1401,稽,無稽之談(无稽之谈),無稽之談,1
1402,稽,稽首,稽首,1
1411,畦,菜畦,,1
1418,涕,鼻涕,,1
1451,契,契約(契约),契約,1
1452,契,契丹,契丹,1
1453,契,契,殷商的始祖,1
1462,胎,輪胎(轮胎),,1
1465,苔,青苔,青苔,1
1466,苔,舌苔,舌苔,1
1469,萊,萊茵河(莱茵河),,1
1488,埃,塵埃(尘埃),,1
1508,亥,亥時(亥时),,1
1529,敦,敦厚,,1
1530,頹,頹廢(颓废),,1
1532,儡,傀儡,,1
1534,崔,崔,,1
1538,傀,傀儡,傀儡,1
1539,傀,傀偉(傀伟),傀偉,1
1541,魁,魁梧,,1
1542,盔,頭盔(头盔),,1
1543,桅,桅杆,,1
1547,瑰,玫瑰,玫瑰,1
1548,瑰,瑰麗(瑰丽),瑰麗,1
1551,徊,徘徊,,1
1552,偎,依偎,,1
1556,徘,徘徊,,1
1558,媒,媒體(媒体),,1
1561,枚,一枚,,1
1564,餒,氣餒(气馁),,1
1565,蕾,花蕾,,1
1573,啡,咖啡,,1
1581,誨,教誨(教诲),,1
1582,晦,晦氣(晦气),,1
1583,潰,潰瘍(溃疡),,1
1591,昧,愚昧,,1
1594,掄,掄刀(抡刀),,1
1595,磷,磷肥,,1
1600,倫,倫理(伦理),,1
1603,鱗,魚鱗(鱼鳞),,1
1604,淪,淪陷(沦陷),,1
1607,竣,竣工,,1
1610,秦,秦朝,,1
1616,馴,馴養(驯养),,1
1621,諄,諄諄(谆谆),,1
1626,淳,淳樸(淳朴),,1
1627,醇,醇厚,,1
1638,紳,紳士(绅士),,1
1639,呻,呻吟,,1
1644,鈞,千鈞一髮(千钧一发),,1
1647,茵,綠草如茵(绿草如茵),,1
1654,頻,頻繁(频繁),,1
1656,繽,繽紛(缤纷),,1
1659,疹,濕疹(湿疹),,1
1669,蚓,蚯蚓,,1
1676,吝,吝嗇(吝啬),,1
1680,駿,駿馬(骏马),,1
1682,峻,峻峭,,1
1685,殉,殉職(殉职),,1
1687,盹,打盹,,1
1690,瞬,瞬間(瞬间),,1
1693,閏,閏月(闰月),,1
1697,韌,韌性(韧性),,1
