聲紐,呼,等,韻部,聲調,組,攝,單字
澄,開,三,侵B,平,知,深,霃
徹,開,三,真B,去,知,臻,疢
初,開,三,臻,上,,臻,齔
初,開,三,臻,去,,臻,齔
初,開,三,真B,去,莊,臻,櫬
初,開,二,耕,平,莊,梗,棦
徹,開,二,庚,平,知,梗,橕
澄,開,二,庚,平,知,梗,棖
常,開,三,清A,平,章,梗,郕
船,開,三,蒸,平,,曾,堘
澄,開,三,清,平,,梗,裎
昌,開,三,之,平,章,止,蚩
徹,開,三,支B,平,知,止,摛
昌,開,三,之,平,章,止,媸
徹,開,三,脂B,平,知,止,絺
徹,開,三,支B,平,知,止,螭
書,開,三,之,平,章,止,𪗪
徹,開,三,之,平,,止,齝
來,開,三,支A,平,來,止,攡
澄,開,三,脂B,平,知,止,蚳
俟,開,三,之,平,,止,漦
澄,開,三,支B,平,知,止,篪
昌,開,三,之,去,章,止,饎
徹,開,三,蒸,入,知,曾,鷘
,,,,,,,冲
昌,開,三,東,平,章,通,㤝
澄,開,三,東,平,知,通,翀
昌,開,三,鍾,平,,通,罿
定,開,一,東,平,,通,罿
昌,開,三,鍾,平,,通,艟
曉,合,三,微,上,影,止,虫
,,,,,,,㧤
,,,,,,,揰
澄,開,三,尤,平,知,流,紬
初,開,三,尤,平,莊,流,篘
徹,開,三,尤,平,知,流,瘳
昌,開,三,尤,平,章,流,犨
澄,開,三,尤,平,,流,儔
知,開,三,尤,平,知,流,譸
澄,開,三,尤,平,,流,幬
定,開,一,豪,去,,效,幬
澄,開,三,尤,平,,流,椆
常,開,三,尤,平,,流,酧
澄,開,三,尤,平,,流,裯
,,,,,,,偢
徹,開,三,魚,平,知,遇,摴
徹,開,三,魚,平,,遇,樗
澄,開,三,魚,平,知,遇,篨
徹,開,三,魚,上,,遇,楮
徹/知,開/合,三/三,燭/虞,入/去,,通/遇,亍
昌,開,三,東,入,章,通,俶
初,開,三,魚,上,莊,遇,憷
徹,開,二,皆,平,知,蟹,搋
,,,,,,,膪
曉,開,二,江,平,影,江,舡
常,合,三,仙A,平,章,山,遄
,,,,,,,䚎
日,合,三,真A,平,日,臻,犉
昌,合,三,真A,上,章,臻,踳
徹,開,二,肴,去,,效,踔
徹,開,二,覺,入,,江,踔
徹,開,三,陽,入,知,宕,辵
昌,合,三,仙A,入,章,山,歠
從/從,開/開,三/三,支A/支A,平/去,,止/止,骴
精/從,開/開,三/三,職/職,入/入,,曾/曾,堲
清,開,三,支A,上,精,止,佌
清/清,開/開,四/三,齊/支A,上/上,,蟹/止,泚
,,,,,,,跐
清,開,三,支A,去,精,止,朿
清,開,三,脂A,去,精,止,佽
,,,,,,,茦
清/清,開/開,三/三,支A/之,去/去,,止/止,蛓
清,開,三,之,去,精,止,螆
