聲紐,呼,等,韻部,聲調,組,攝,單字
並/並,開/開,三/四,眞A/先,平/平,,臻/山,蠙
滂,開,三,清,去,,梗,娉
,,,,,,,娉
明,開,四,錫,入,,梗,冖
並,開,三,庚,平,幫,梗,苹
並/並,開/開,三/三,蒸/蒸,平/去,,曾/曾,凭
並,開,三,庚,平,幫,梗,泙
並,開,三,庚,平,,梗,枰
,,,,,,,帲
並,開,四,青,平,,梗,簈
滂,開,一,屋,入,,通,攴
滂,開,二,覺,入,,江,攴
滂,開,一,歌,平,幫,果,𨸭
並,開,一,歌,平,幫,果,蔢
並/幫,合/合,一/一,戈/戈,平/平,,果/果,皤
,,,,,,,尀
並/滂,開/合,一/一,侯/灰,平/平,,流/蟹,抔
幫,開,一,侯,上,,流,掊
並,開,一,侯,平,幫,流,裒
滂,開,一,東,入,幫,通,扑
滂/滂,開/合,一/三,模/虞,平/平,,遇/遇,痡
滂,開,一,模,平,幫,遇,𨁏
幫,開,一,模,平,,遇,鯆
滂,開,一,模,平,,遇,鯆
幫,合,三,虞,上,,遇,鯆
並,開,一,模,平,幫,遇,酺
,,,,,,,潽
,,,,,,,恓
清,開,四,青,入,精,梗,慼
溪,開,三,之,平,見,止,僛
清,開,四,齊,平,,蟹,緀
清,開,四,青,入,精,梗,鏚
群,開,三,支A,平,見,止,疧
群,開,三,微,平,見,止,旂
,,,,,,,埼
見,開,三,之,平,,止,萁
羣,開,三,之,平,,止,萁
群,開,三,支A,平,見,止,軝
溪,合,三,支B,上,,止,跂
群,開,三,之,平,見,止,騏
羣,開,三,支B,平,,止,碕
溪,開,三,支B,平,,止,碕
,,,,,,,錡
羣,開,三,之,平,,止,蜞
群,開,三,之,平,見,止,藄
從,開,四,齊,去,,蟹,懠
羣,開,三,之,平,,止,鶀
群,開,三,脂A,平,見,止,鬐
羣,開,三,微,平,,止,魕
見,開,三,微,上,,止,魕
溪,開,三,之,上,見,止,芑
溪,開,三,之,上,見,止,屺
,,,,,,,𨀣
溪,開,三,支B,上,見,止,婍
溪,開,四,齊,上,見,蟹,棨
溪,開,四,齊,上,見,蟹,綮
溪,開,三,侵B,入,見,深,湆
溪/溪,開/開,四/三,齊/脂A,去/去,,蟹/止,蟿
溪,開,二,山,入,見,山,㓤
清,開,三,仙A,平,精,山,韆
清/清,開/開,四/四,先/先,平/去,,山/山,芊
溪,開,四,先,平,,山,汧
溪,開,二,山,平,見,山,慳
溪,開,二,耕,平,見,梗,摼
,,,,,,,搴
見,開,三,仙B,上,,山,搴
清,開,三,鹽A,平,精,咸,𠠃
溪,開,三,仙B,平,見,山,褰
,,,,,,,𩬚
羣,開,三,仙B,平,,山,騝
溪,開,三,嚴,上,見,咸,凵
溪/溪,開/開,三/三,仙A/仙A,上/去,,山/山,繾
溪,開,三,仙A,上,見,山,䭤
清,開,三,鹽A,去,,咸,槧
清,開,四,先,去,精,山,蒨
溪,開,四,添,上,,咸,慊
,,,,,,,慊
清,開,三,陽,平,精,宕,瑲
清,開,三,陽,平,精,宕,斨
溪,開,三,陽,平,見,宕,蜣
,,,,,,,蔃
從,開,三,陽,平,,宕,樯
見,開,三,陽,上,見,宕,鏹
溪,開,二,肴,平,,效,磽
見,開,三,藥,入,,宕,蹻
見,開,三,宵B,上,,效,蹻
群,開,三,宵A,平,見,效,荍
從,開,三,宵A,平,精,效,譙
清,開,三,宵A,上,,效,愀
溪,開,三,仙B,入,見,山,朅
溪,開,四,怗,入,,咸,箧
清/初,開/開,三/三,侵A/侵B,平/平,,深/深,駸
溪,開,三,侵B,平,見,深,嶔
群,開,三,欣,平,見,臻,懃
莊,開,三,臻,平,莊,臻,溱
從,開,三,侵A,平,,深,䰼
群,開,三,侵B,平,見,深,檎
從,開,三,真A,平,精,臻,螓
,,,,,,,蠄
,,,,,,,鋟
群,開,三,庚,平,見,梗,勍
羣/見/羣,開/開/開,三/三/三,庚/庚/庚,平/上/去,,梗/梗/梗,檠
群,開,三,庚,平,見,梗,黥
,,,,,,,㷫
溪,開,四,青,上,見,梗,謦
群,開,三,鍾,平,見,通,筇
群,開,三,鍾,平,見,通,蛩
群,合,三,清A,平,見,梗,睘
溪/曉,開/開,三/三,鍾/鍾,平/平,,通/通,銎
,,,,,,,坵
清,開,三,尤,平,精,流,鶖
,,,,,,,鰌
從,開,三,尤,平,,流,鰌
群,開,三,尤,平,見,流,厹
群,開,三,尤,平,見,流,犰
群,開,三,尤,平,見,流,俅
群,開,三,尤,平,見,流,逑
群,開,三,尤,平,見,流,梂
群,開,三,尤,平,見,流,賕
群,開,三,尤,平,見,流,絿
群,開,三,幽,平,見,流,觩
羣/羣,開/開,三/三,尤/幽,平/平,,流/流,璆
從,開,三,尤,平,,流,蝤
群,開,三,尤,平,見,流,銶
群,開,三,尤,平,見,流,鼽
曉,開,三,東,去,,通,䠗
溪,開,三,幽,去,,流,䠗
溪,合,三,文,入,見,臻,詘
溪,合,三,虞,平,見,遇,敺
溪,開,三,魚,平,見,遇,袪
清/清,開/開,三/三,魚/魚,平/去,,遇/遇,䏣
群,合,三,虞,平,見,遇,劬
羣,合,三,虞,平,,遇,朐
群,合,三,虞,平,見,遇,鸜
羣,合,三,虞,平,,遇,絇
群,開,三,魚,平,見,遇,蕖
群,開,三,魚,平,見,遇,磲
群,開,三,魚,平,見,遇,璩
羣/羣,開/開,三/三,魚/虞,平/平,,遇/遇,蘧
群,開,三,魚,平,見,遇,籧
溪,開,三,業,入,,咸,呿
溪,開,三,魚,去,,遇,呿
溪,開,三,戈,平,,果,呿
清,合,三,仙A,平,精,山,悛
溪,合,三,仙B,平,見,山,棬
莊,合,三,仙B,平,,山,跧
群,合,三,仙B,平,見,山,踡
清,合,三,仙A,平,,山,縓
見,合,四,先,上,見,山,畎
溪/溪,合/合,三/三,元/元,上/去,,臻/臻,綣
溪,開,二,江,入,見,江,埆
溪,開,二,覺,入,,江,慤
匣,開,二,江,入,影,江,确
溪,合,三,真B,平,見,臻,囷
日,開,三,鹽A,平,日,咸,蚺
日,開,三,陽,平,日,宕,瀼
,,,,,,,鬤
日,開,三,陽,去,日,宕,懹
日,開,三,宵A,平,日,效,蕘
日,開,三,宵A,上,日,效,遶
日/日/孃,開/開/開,三/三/三,侵A/侵A/侵B,平/去/平,,深/深/深,鵀
泥,開,四,先,上,,山,涊
日,開,三,侵A,上,日,深,棯
日,開,三,真A,去,日,臻,訒
日,開,三,真A,去,日,臻,牣
日,開,三,真A,去,日,臻,肕
日,開,三,侵A,上,日,深,腍
,,,,,,,𠮨
日/泥,開/開,三/一,之/侯,平/平,,止/流,陾
日,開,三,真A,入,日,臻,馹
以,開,三,東,平,以,通,肜
日,開,三,鍾,上,日,通,氄
,,,,,,,禸
心/日,合/合,三/三,虞/虞,平/平,,遇/遇,繻
日/日,開/開,三/三,魚/魚,平/去,,遇/遇,洳
日,開,三,燭,入,,通,蓁
日,開,三,鍾,入,日,通,溽
日,合,三,仙A,平,日,山,撋
日,合,三,仙A,上,,山,耎
,,,,,,,耎
日,合,三,脂A,平,日,止,緌
日,合,三,脂A,平,日,止,蕤
日,合,三,脂A,平,日,止,桵
日,合,三,祭A,去,日,蟹,汭
日,合,三,祭A,去,,蟹,蜹
,,,,,,,𠷀
日,開,三,陽,入,日,宕,鄀
日,合,三,仙A,入,日,山,焫
日,開,三,陽,入,日,宕,蒻
日,合,三,仙A,入,日,山,爇
心,開,四,齊,上,,蟹,洒
生,開,二,佳,去,,蟹,洒
心/心,開/開,一/一,/盍,入/入,,咸/咸,靸
心,開,一,,入,,咸,鈒
心/生,開/開,一/三,曷/薛B,入/入,,山/山,摋
心,合,一,灰,平,精,蟹,毸
心,開,一,咍,平,精,蟹,䚡
,,,,,,,䰄
生,開,二,銜,平,,咸,彡
心,開,三,鹽A,平,,咸,彡
心,開,一,寒,上,,山,繖
心,開,一,寒,去,,山,繖
,,,,,,,𤷫
心,開,一,寒,上,精,山,饊
心,開,一,覃,上,精,咸,糂
心,開,一,覃,上,精,咸,糣
心,開,一,寒,上,精,山,鏾
心,開,一,唐,上,精,宕,顙
心,開,一,豪,平,,效,慅
清,開,一,豪,上,精,效,懆
心,開,一,豪,平,精,效,鰠
心,開,一,豪,平,精,效,颾
心,開,一,豪,去,,效,埽
心,開,一,豪,上,,效,埽
生/生,開/開,三/三,職/緝B,入/入,,曾/深,濇
,,,,,,,槮
精,開,一,覃,去,,咸,篸
心,開,一,登,平,精,曾,鬙
生/生/生,開/開/開,二/二/三,皆/鎋/祭B,去/入/去,,蟹/山/蟹,鎩
生/生,開/開,二/三,洽/葉B,入/入,,咸/咸,歃
生/生,開/開,二/三,洽/葉B,入/入,,咸/咸,箑
生,開,二,銜,入,莊,咸,翣
生,開,三,支B,平,,止,釃
以,開,三,仙A,平,,山,埏
,,,,,,,騸
常,開,三,仙A,上,章,山,墡
,,,,,,,𥔱
,,,,,,,謆
常,開,三,仙A,上,章,山,鱓
,,,,,,,謪
書,開,三,陽,平,章,宕,觴
生,開,二,肴,平,,效,莦
心,開,三,宵A,平,,效,莦
生,開,二,肴,平,莊,效,弰
生,開,二,肴,平,,效,蛸
心,開,三,宵A,平,,效,蛸
生,開,二,肴,平,莊,效,髾
常,開,三,藥,入,,宕,杓
常,開,三,宵A,去,章,效,卲
,,,,,,,睄
書,開,三,葉A,入,,咸,弽
曉,開,四,怗,入,,咸,弽
章,開,三,葉A,入,,咸,慴
心,開,四,怗,入,,咸,韘
生,開,三,臻,平,莊,臻,侁
書,開,三,眞A,平,,臻,珅
生,開,三,臻,平,莊,臻,甡
,,,,,,,葠
生,開,三,侵B,去,,深,罧
生,開,三,臻,平,莊,臻,駪
生,開,三,臻,平,莊,臻,燊
端,開,一,覃,上,,咸,抌
昌,開,三,侵A,上,章,深,瀋
書,開,三,真A,上,章,臻,哂
書,開,三,真A,上,章,臻,矧
書,開,三,侵A,上,章,深,宷
書,開,三,侵A,上,章,深,諗
書,開,三,侵A,上,章,深,魫
書,開,三,侵A,上,,深,瞫
知,開,三,侵B,平,知,深,椹
書,開,三,蒸,平,章,曾,陞
生/心,開/開,二/四,庚/青,平/平,,梗/梗,鉎
生,開,三,庚,上,莊,梗,眚
,,,,,,,㗂
溪,合,一,魂,入,見,臻,圣
常,開,三,清A,去,章,梗,晟
生,開,三,庚,去,莊,梗,貹
船,開,三,蒸,去,,曾,賸
書,開,三,之,平,章,止,呞
書,開,三,脂A,平,章,止,鳲
書,開,三,支A,平,章,止,絁
書,開,三,脂A,平,章,止,蓍
常,開,三,之,平,章,止,塒
常,開,三,之,去,,止,蒔
,,,,,,,𧵳
常,開,三,蒸,入,章,曾,湜
常,開,三,蒸,入,章,曾,寔
常,開,三,清A,入,章,梗,鼫
常/常/船,開/開/開,三/三/三,脂A/脂A/脂A,去/上/去,,止/止/止,眎
書/船,開/開,三/三,祭A/麻,去/去,,蟹/假,貰
見/溪,合/合,一/一,末/末,入/入,,山/山,适
徹,開,三,蒸,入,知,曾,栻
影,開,三,昔,入,,梗,謚
常,開,三,祭A,去,章,蟹,筮
常,開,三,支A,上,章,止,諟
書,開,三,清A,入,章,梗,襫
常,合,三,虞,平,章,遇,殳
徹,開,三,魚,平,知,遇,攄
書,開,三,魚,上,章,遇,癙
見,合,一,魂,上,見,臻,丨
船,合,三,真A,入,章,臻,沭
清,合,一,灰,平,精,蟹,縗
,,,,,,,𣘚
生,開,三,陽,平,莊,宕,驦
,,,,,,,礵
生,開,三,陽,平,莊,宕,鸘
書/清,合/合,三/三,祭A/祭A,去/去,,蟹/蟹,帨
書,合,三,真A,去,章,臻,蕣
日,合,三,真A,平,日,臻,瞤
生,開,二,江,入,莊,江,槊
,,,,,,,厶
心,開,三,脂A,平,,止,厶
,,,,,,,俬
心,開,一,咍,平,精,蟹,愢
心,開,三,之,平,精,止,楒
初,開,三,之,平,莊,止,颸
心,開,三,之,平,精,止,罳
心,開,三,支A,去,精,止,澌
清,開,一,咍,平,,蟹,偲
俟,開,三,之,上,,止,涘
來,開,三,之,平,來,止,梩
心,開,三,之,去,精,止,笥
俟,開,三,之,上,,止,竢
,,,,,,,䦙
心,開,三,東,平,精,通,娀
心,開,三,鍾,上,精,通,竦
心,開,三,鍾,上,精,通,㩳
生,開,三,尤,平,,流,廋
心,開,四,蕭,平,,效,瞍
心,開,一,模,平,精,遇,㢝
心,開,一,模,去,精,遇,泝
心,開,三,東,入,精,通,驌
生,開,三,屋,入,,通,谡
心,開,一,模,去,精,遇,遡
心,開,三,東,入,精,通,鷫
心,開,一,東,入,精,通,蔌
心,開,一,東,入,精,通,遬
生,開,二,麥,入,,梗,愬
心,開,一,模,去,,遇,愬
心,開,一,東,入,精,通,樕
心,開,一,東,入,精,通,餗
生,開,三,東,入,莊,通,蹜
心,合,一,寒,平,精,山,狻
心,合,一,寒,平,精,山,𩆑
心,合,三,脂A,平,,止,夊
初,合,三,支B,平,,止,夊
心,合,一,灰,平,精,蟹,挼
心,合,三,脂A,平,精,止,荽
,,,,,,,眭
心,合,三,脂A,去,,止,睟
,,,,,,,睟
邪,合,三,脂A,去,,止,繸
邪,合,三,脂A,去,精,止,璲
邪,合,三,脂A,去,精,止,穟
邪,合,三,脂A,去,精,止,襚
心,合,一,灰,去,精,蟹,繀
心,合,三,祭A,去,,蟹,繐
心,合,一,魂,平,精,臻,猻
心,合,三,真A,上,精,臻,隼
心,開,一,歌,平,精,果,桫
心/清,開/開,一/一,歌/歌,平/平,,果/果,傞
,,,,,,,睃
心,開,一,歌,平,精,果,䓾
生,開,二,覺,入,,江,嗍
生,開,二,麥,入,,梗,𡩡
心,開,一,唐,入,精,宕,𢱢
,,,,,,,鉈
端,開,一,覃,入,端,咸,荅
透,開,一,寒,入,端,山,闥
定,開,一,覃,入,端,咸,遝
透,開,一,覃,入,端,咸,錔
曉,開,一,咍,平,影,蟹,咍
透,開,一,咍,平,端,蟹,邰
定,開,一,咍,平,端,蟹,薹
定,開,一,咍,平,,蟹,駘
定,開,一,咍,上,,蟹,駘
定,開,一,咍,平,端,蟹,炱
定,開,一,咍,平,端,蟹,跆
定,開,一,覃,平,端,咸,壜
邪/以,開/開,三/三,侵A/侵A,平/平,,深/深,鐔
定,開,一,覃,平,,咸,鐔
透,開,一,談,上,端,咸,菼
透,開,一,覃,上,端,咸,嗿
,,,,,,,憳
透,開,一,覃,上,,咸,醓
,,,,,,,劏
定,開,一,唐,平,端,宕,傏
定,開,一,唐,平,端,宕,瑭
定,開,一,唐,平,端,宕,螗
透,開,一,唐,平,端,宕,鏜
定,開,一,唐,平,端,宕,餹
,,,,,,,钂
透,開,一,唐,去,端,宕,摥
透,開,一,豪,平,端,效,弢
透,開,一,豪,平,,效,縧
透,開,一,豪,平,端,效,慆
透,開,一,豪,平,端,效,縚
定,開,一,豪,平,端,效,匋
定/透,開/開,一/四,豪/蕭,平/去,,效/效,咷
定,開,一,豪,平,,效,檮
定,開,一,豪,平,端,效,綯
定,開,一,豪,平,端,效,裪
,,,,,,,醄
定,開,一,豪,平,,效,鼗
定,開,一,豪,平,,效,鼗
定,開,一,豪,平,,效,䬞
澄,開,三,尤,平,,流,䬞
透,開,一,登,入,端,曾,慝
定,開,一,登,平,,曾,螣
定,開,四,齊,平,,蟹,苐
定,開,四,齊,平,端,蟹,綈
定,開,四,齊,平,端,蟹,稊
端,開,四,齊,去,端,蟹,渧
定,開,四,齊,平,,蟹,媞
定,開,四,齊,平,,蟹,緹
定,開,四,齊,平,端,蟹,瑅
定,開,四,齊,平,端,蟹,䨑
定,開,四,齊,平,,蟹,褆
定/定,開/開,四/四,齊/齊,平/平,,蟹/蟹,蝭
定,開,四,齊,平,,蟹,鴺
定,開,四,齊,平,,蟹,鯷
定,開,四,齊,平,端,蟹,鮷
定,開,四,齊,平,端,蟹,騠
以,開,三,脂A,平,,止,洟
心,開,四,錫,入,,梗,裼
,,,,,,,裼
透/定,開/開,四/四,齊/齊,去/去,,蟹/蟹,鬀
透/定,開/開,四/四,錫/錫,入/入,,梗/梗,籊
定,開,四,先,平,,山,畋
定,開,四,添,平,端,咸,湉
,,,,,,,塡
定,開,四,先,平,,山,磌
定,開,四,先,上,端,山,殄
透,開,四,先,上,端,山,淟
透,開,四,先,上,端,山,㥏
透,開,四,先,上,,山,覥
,,,,,,,瑱
透,開,四,先,去,,山,睼
,,,,,,,𠛪
透,開,四,蕭,平,,效,恌
透,開,四,蕭,平,端,效,祧
定/端,開/開,四/四,蕭/蕭,平/平,,效/效,芀
定,開,四,蕭,去,,效,蓧
定,開,四,蕭,平,,效,齠
定,開,四,蕭,平,端,效,蜩
定,開,四,蕭,平,端,效,髫
定,開,四,蕭,平,,效,鞗
定,開,四,蕭,平,端,效,鰷
透,開,四,蕭,去,,效,趒
透,開,四,蕭,去,,效,頫
幫,合,三,虞,上,,遇,頫
透,開,四,添,入,端,咸,怗
定,開,四,青,平,端,梗,渟
定,開,四,青,上,端,梗,梃
透,開,四,青,上,端,梗,脡
,,,,,,,䅍
透,開,四,青,上,端,梗,頲
透,開,一,東,平,端,通,痌
透,開,一,東,平,端,通,蓪
明,開,四,青,入,幫,梗,冂
定/定,開/開,一/一,東/東,平/去,,通/通,衕
定,開,一,東,平,,通,鮦
,,,,,,,獞
定,開,一,東,平,,通,橦
澄,開,二,江,平,,江,橦
定/透/透,開/開/開,一/一/一,東/東/東,平/平/上,,通/通/通,曈
定/澄,開/開,一/三,東/鍾,平/平,,通/通,穜
定,開,一,東,平,端,通,筩
透,開,一,侯,平,端,流,鍮
,,,,,,,紏
滂,合,三,虞,上,,遇,殕
影,開,一,德,入,,曾,殕
定,合,一,魂,入,端,臻,堗
透,開,一,模,平,端,遇,㻬
透,開,一,東,入,端,通,鵚
定,開,一,模,平,,遇,梌
澄,開,二,麻,平,,假,梌
透,開,一,模,平,,遇,梌
透/透,開/開,一/一,模/模,平/上,,遇/遇,稌
定,合,一,魂,入,端,臻,腯
定,開,一,模,平,端,遇,瘏
定,開,一,模,平,端,遇,酴
定,開,一,模,平,端,遇,駼
定,開,一,模,平,,遇,鵌
定,合,一,桓,平,,山,摶
定,合,一,寒,平,端,山,漙
透,合,一,寒,去,端,山,彖
透/匣,合/合,一/一,灰/灰,上/去,,蟹/蟹,僓
定,合,一,灰,平,端,蟹,隤
定,合,一,灰,平,端,蟹,魋
定,合,一,灰,平,端,蟹,蘈
透,合,一,泰,去,端,蟹,駾
常,合,三,諄,平,,臻,焞
,,,,,,,焞
,,,,,,,𡰪
透,開,一,唐,入,端,宕,飥
透/定,開/開,一/一,歌/歌,平/上,,果/果,拕
透/來,開/開,一/一,鐸/鐸,入/入,,宕/宕,驝
,,,,,,,㾃
定,開,一,歌,平,端,果,䍫
定,開,一,歌,平,端,果,紽
定,合,一,歌,平,端,果,堶
定,開,一,歌,平,端,果,酡
定,開,一,歌,平,,果,詑
透,開,一,唐,入,端,宕,橐
定,開,一,歌,平,端,果,鮀
定,開,一,歌,平,端,果,鼉
,,,,,,,庹
影,合,二,麻,平,,假,窊
匣,合,二,佳,平,,蟹,鼃
影,合,二,麻,去,,假,搲
明,開,一,寒,入,幫,山,袜
影,合,一,寒,去,影,山,捥
疑,合,一,寒,平,見,山,刓
匣,合,一,寒,平,影,山,芄
明,合,三,文,去,幫,臻,莬
影/影,合/合,三/三,元/物,上/入,,臻/臻,菀
影,合,三,元,上,,臻,琬
明,開,一,德,入,,曾,万
疑,合,一,寒,去,見,山,翫
影,合,二,刪,去,,山,贃
,,,,,,,贃
影,合,一,唐,平,影,宕,尪
明,合,三,陽,上,幫,宕,网
云,合,三,陽,去,,宕,迋
影/影,合/合,一/一,灰/灰,平/去,,蟹/蟹,隈
影,合,一,灰,平,影,蟹,渨
影,合,一,灰,平,影,蟹,椳
明,合,三,微,平,,止,溦
,,,,,,,嶶
,,,,,,,癐
云,合,三,微,平,影,止,囗
云,合,三,微,平,影,止,闈
影,合,三,微,平,,止,媁
曉,合,三,支B,平,影,止,撝
云,合,三,脂B,上,影,止,洧
云,合,三,支B,上,,止,薳
,,,,,,,薳
匣,合,一,灰,上,影,蟹,廆
云,合,三,脂B,上,影,止,鮪
以/以,合/合,三/三,脂A/脂A,平/上,,止/止,壝
云,合,三,微,上,影,止,韡
明,合,三,微,上,,止,亹
明,合,一,魂,平,,臻,亹
影,合,一,泰,去,,蟹,濊
影,合,三,微,去,影,止,螱
,,,,,,,鰮
,,,,,,,亠
,,,,,,,魰
明/明,合/合,三/三,文/文,上/去,,臻/臻,抆
明,開,三,真A,上,幫,臻,脗
明,開,三,真B,平,幫,臻,忞
影,開,三,鍾,平,,通,蕹
影,開,一,東,去,,通,齆
泥,合,一,戈,平,,果,捼
影/見,合/合,一/二,戈/麻,上/平,,果/假,婐
影,開,一,模,平,影,遇,圬
影,開,一,模,平,影,遇,杇
影,開,一,東,入,影,通,剭
明,開,一,模,平,,遇,无
疑,開,一,模,平,見,遇,鼯
疑,開,一,模,上,見,遇,仵
疑,開,一,模,去,見,遇,迕
明,合,三,虞,上,,遇,憮
明,合,三,虞,上,幫,遇,碔
明,合,三,虞,上,幫,遇,儛
疑/疑,合/合,一/三,沒/月,入/入,,臻/臻,扤
疑,合,一,魂,入,見,臻,屼
影,開,一,模,上,影,遇,隖
疑,開,一,模,去,見,遇,悞
影,合,一,冬,入,影,通,鋈
曉/曉,開/開,三/三,質B/迄,入/入,,臻/臻,肸
邪,開,三,清A,入,精,梗,穸
曉,開,三,微,平,,止,俙
曉,開,三,微,平,影,止,晞
曉/曉,開/開,三/三,微/微,平/去,,止/止,欷
曉,開,三,微,平,影,止,睎
心/心,開/開,四/一,齊/咍,平/平,,蟹/蟹,粞
,,,,,,,焬
匣/匣,開/開,四/四,齊/齊,平/去,,蟹/蟹,徯
昌,開,三,之,去,,止,糦
昌,開,三,之,去,,止,糦
曉,開,四,齊,平,影,蟹,醯
曉,開,三,之,平,影,止,譆
匣,開,四,齊,平,影,蟹,鼷
匣/曉,合/合,四/三,齊/支A,平/平,,蟹/止,觿
邪,開,三,侵A,入,精,深,隰
邪,開,三,緝A,入,,深,霫
心,開,三,緝A,入,,深,霫
心,開,三,之,上,精,止,枲
心,開,三,之,上,精,止,葸
,,,,,,,暿
,,,,,,,蹝
,,,,,,,囍
匣,開,四,齊,上,影,蟹,匸
曉,開,三,微,去,影,止,餼
,,,,,,,咥
定,開,四,屑,入,,山,咥
溪,開,三,庚,入,見,梗,郤
溪,開,三,庚,入,見,梗,綌
曉,開,四,青,入,影,梗,鬩
心,開,三,昔,入,,梗,舄
曉,開,三,侵B,入,影,深,潝
曉,開,三,陌,入,,梗,虩
生,開,二,麥,入,,梗,虩
曉,開,三,侵B,入,影,深,闟
曉,開,三,支B,去,影,止,嚱
,,,,,,,閕
曉/曉,開/開,二/二,麻/麻,去/平,,假/假,煆
匣,開,二,麻,平,影,假,鰕
見,開,一,,入,,咸,郃
匣,開,一,,入,,咸,郃
匣,開,二,銜,入,影,咸,柙
,,,,,,,㗇
匣,開,二,麻,平,影,假,蕸
匣,開,二,麻,平,影,假,鍜
匣,開,二,麻,平,影,假,䪗
心,開,四,先,平,精,山,𥑻
心,開,四,先,平,,山,躚
心,開,三,鹽A,平,精,咸,韱
清,開,三,鹽A,平,,咸,憸
,,,,,,,褼
心,開,三,仙A,上,,山,廯
心,開,三,鹽A,平,精,咸,孅
邪/從/常,開/開/開,三/一/三,侵A/覃/鹽A,平/平/平,,深/咸/咸,撏
匣,開,四,先,平,影,山,蚿
匣,開,二,山,平,,山,鷳
溪,開,四,添,上,見,咸,嗛
匣,開,二,山,平,,山,憪
匣,開,二,咸,平,影,咸,諴
心,開,三,仙A,上,精,山,獮
,,,,,,,櫶
心,開,四,先,上,精,山,毨
曉,開,三,鹽B,上,影,咸,玁
心,開,三,仙A,上,,山,尠
心,開,四,先,上,精,山,跣
心,開,四,先,上,,山,燹
曉,開,三,元,上,影,山,幰
溪/匣,開/開,四/四,先/先,去/上,,山/山,俔
心,開,三,仙A,去,精,山,綫
匣,開,四,先,上,,山,晛
匣,開,四,先,上,影,山,睍
匣,開,二,刪,上,,山,僩
,,,,,,,鋧
,,,,,,,𨵬
心,開,三,陽,平,精,宕,緗
心,開,三,陽,平,精,宕,纕
曉,開,三,陽,上,,宕,蠁
曉/書,開/開,三/三,陽/陽,去/去,,宕/宕,珦
曉/書/書/曉,開/開/開/開,三/三/三/三,陽/陽/陽/陽,上/上/去/去,,宕/宕/宕宕,曏
曉,開,二,肴,平,影,效,虓
心,開,三,宵A,平,,效,綃
心/書,開/開,四/三,蕭/屋,平/入,,效/通,翛
見,開,二,肴,平,,效,嘐
曉,開,二,肴,平,,效,嘐
心,開,四,蕭,平,精,效,彇
心,開,四,蕭,平,,效,蟰
娘,開,二,肴,平,知,效,譊
,,,,,,,𤑳
匣,開,二,肴,平,,效,崤
心,開,四,蕭,上,精,效,篠
匣,開,二,肴,去,,效,恔
匣,開,二,肴,去,影,效,効
匣,開,二,肴,去,影,效,傚
心,開,四,先,入,精,山,㨝
曉,開,三,嚴,入,影,咸,拹
心,開,四,先,入,精,山,揳
匣,開,四,先,入,影,山,襭
邪,開,三,麻,上,精,假,灺
曉,開,三,脂B,去,影,止,屓
心,開,三,仙A,入,精,山,紲
以,開,三,祭A,去,,蟹,絏
,,,,,,,𢬿
心/崇,開/開,三/二,薛A/洽,入/入,,山/咸,渫
心,開,三,仙A,入,精,山,媟
泥,開,四,怗,入,,咸,暬
心,開,三,薛A,入,,山,𣊓
心,開,四,添,入,精,咸,屧
匣,開,二,皆,去,影,蟹,薤
匣,開,二,佳,上,影,蟹,獬
匣,開,二,皆,去,影,蟹,齘
,,,,,,,盺
從,開,三,侵A,平,,深,鬵
曉,開,三,真B,去,影,臻,衅
曉,開,三,欣,去,影,臻,𦜓
心,合,三,清A,平,精,梗,騂
匣,開,四,青,平,影,梗,侀
匣,開,四,青,平,影,梗,鈃
匣,開,四,青,平,,梗,硎
匣,開,四,青,平,影,梗,鉶
心/心,開/開,三/三,清/清,上/上,,梗/梗,𢜫
溪,開,三,東,平,見,通,芎
曉,合,三,清,去,,梗,敻
曉,合,四,先,去,,山,敻
曉,開,三,東,去,影,通,𧽒
曉,開,三,尤,平,影,流,庥
曉,開,三,尤,平,影,流,鵂
曉,開,三,尤,平,,流,髹
曉,開,三,尤,平,,流,䮌
以,開,三,尤,去,以,流,褎
滂,開,三,脂B,去,幫,止,嚊
曉,合,三,虞,平,影,遇,旴
曉,合,三,虞,平,影,遇,訏
心/心,開/開,三/三,魚/魚,上/平,,遇/遇,諝
曉,開,三,魚,平,影,遇,歔
曉,合,三,虞,上,影,遇,珝
曉,合,三,虞,上,影,遇,冔
心/生,開/開,三/三,魚/魚,上/上,,遇/遇,糈
心,開,三,魚,上,精,遇,醑
曉/曉,合/合,三/三,職/脂A,入/去,,曾/止,侐
心,合,三,真A,入,精,臻,卹
曉,開,三,燭,入,,通,勗
心/心,開/開,三/三,魚/魚,上/平,,遇/遇,湑
曉,開,三,東,入,影,通,慉
邪,開,三,鍾,入,精,通,藚
,,,,,,,䱛
邪,開,三,魚,上,精,遇,鱮
,,,,,,,晅
曉/曉,合/合,三/三,元/元,平/上,,臻/臻,諼
心,合,三,仙A,平,精,山,瑄
曉,合,三,元,平,,臻,煖
泥,合,一,桓,上,,山,煖
曉,合,三,仙A,平,影,山,儇
,,,,,,,禤
曉,合,三,元,平,影,山,諠
邪,合,三,仙A,平,精,山,璿
曉,合,三,元,上,,臻,烜
匣,合,四,先,上,影,山,泫
匣,合,四,先,上,影,山,鉉
匣,合,四,先,去,影,山,衒
曉,合,三,歌,平,影,果,㗾
曉,合,三,元,平,影,山,塤
曉,合,三,文,平,影,臻,焄
,,,,,,,蔒
曉,合,三,文,平,影,臻,獯
